Last login: Thu Feb  8 11:15:29 on ttys000
Shivams-MacBook-Pro:~ shivamkumar$ ps -ef
  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   478     1   0  1:56PM ??         0:00.23 /System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  501   481     1   0  1:56PM ??         0:01.30 /System/Library/Frameworks/MediaLibrary.framework/Versions/A/XPCServices/com.apple.MediaLibraryService.xpc/Contents/MacOS/com.apple.MediaLibraryService
  501   487     1   0  1:56PM ??         0:00.04 /usr/libexec/USBAgent
   89   494     1   0  1:56PM ??         0:00.05 /usr/sbin/distnoted agent
  501   496     1   0  1:56PM ??         0:03.97 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
  501   497     1   0  1:57PM ??         0:03.14 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  501   499     1   0  1:57PM ??         0:00.04 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501   500     1   0  1:57PM ??         0:00.07 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
  501   501     1   0  1:57PM ??         0:01.09 /System/Library/CoreServices/mapspushd
  501   502     1   0  1:57PM ??         0:00.12 /usr/libexec/siriknowledged
  501   503     1   0  1:57PM ??         0:00.21 /usr/libexec/keyboardservicesd
  501   504     1   0  1:57PM ??         0:07.78 /usr/libexec/SafariCloudHistoryPushAgent
  501   505     1   0  1:57PM ??         0:00.53 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
